post_id,conversation_type,total_comments,comments_with_disagreement_markers,comments_with_agreement_markers,comments_with_sarcasm_markers,comments_with_weak_markers,disagreement_marker_rate,agreement_marker_rate,sarcasm_marker_rate,weak_marker_rate,avg_depth,avg_score
post10hb,richly branching,12,0,2,6,1,0.0,0.167,0.5,0.083,1.92,13.0
post10lb,poorly branching,5,0,0,4,1,0.0,0.0,0.8,0.2,1.8,1.0
post11lb,poorly branching,17,0,1,13,1,0.0,0.059,0.765,0.059,2.59,5.59
post12hb,richly branching,14,1,0,2,0,0.071,0.0,0.143,0.0,1.79,7.43
post12lb,poorly branching,4,0,1,4,0,0.0,0.25,1.0,0.0,1.5,2.0
post13hb,richly branching,48,5,1,22,2,0.104,0.021,0.458,0.042,2.5,4.15
post13lb,poorly branching,21,1,1,6,0,0.048,0.048,0.286,0.0,2.38,1.71
post14hb,richly branching,136,7,3,56,7,0.051,0.022,0.412,0.051,2.62,25.56
post14lb,poorly branching,5,0,0,2,0,0.0,0.0,0.4,0.0,2.2,-1.8
post15hb,richly branching,24,1,0,11,0,0.042,0.0,0.458,0.0,2.33,5.33
post16hb,richly branching,16,1,0,5,1,0.062,0.0,0.312,0.062,2.0,2.0
post16lb,poorly branching,3,0,0,3,0,0.0,0.0,1.0,0.0,1.0,9.33
post17lb,poorly branching,9,0,0,5,0,0.0,0.0,0.556,0.0,1.89,3.56
post18hb,richly branching,99,5,4,52,1,0.051,0.04,0.525,0.01,2.27,2.44
post18lb,poorly branching,4,1,0,1,0,0.25,0.0,0.25,0.0,1.75,31.75
post19hb,richly branching,10,1,0,6,0,0.1,0.0,0.6,0.0,2.5,2.4
post1hb,richly branching,80,8,5,38,2,0.1,0.062,0.475,0.025,2.38,42.44
post1lb,poorly branching,8,0,0,1,0,0.0,0.0,0.125,0.0,1.88,5.5
post20hb,richly branching,80,4,1,45,1,0.05,0.012,0.562,0.012,2.44,10.46
post20lb,poorly branching,9,1,1,6,0,0.111,0.111,0.667,0.0,1.78,15.78
post21hb,richly branching,43,4,4,12,2,0.093,0.093,0.279,0.047,2.21,20.93
post21lb,poorly branching,5,1,0,2,0,0.2,0.0,0.4,0.0,1.2,4.2
post22hb,richly branching,17,0,0,11,4,0.0,0.0,0.647,0.235,2.59,4.24
post22lb,poorly branching,5,1,0,2,0,0.2,0.0,0.4,0.0,1.2,4.6
post23hb,richly branching,22,1,3,15,1,0.045,0.136,0.682,0.045,2.5,5.27
post23lb,poorly branching,7,0,0,5,0,0.0,0.0,0.714,0.0,1.0,3.43
post24hb,richly branching,27,3,1,18,4,0.111,0.037,0.667,0.148,2.56,1.96
post25hb,richly branching,22,1,1,19,0,0.045,0.045,0.864,0.0,2.68,2.27
post25lb,poorly branching,7,0,0,3,0,0.0,0.0,0.429,0.0,1.29,1.29
post26hb,richly branching,32,2,0,13,3,0.062,0.0,0.406,0.094,2.44,7.75
post26lb,poorly branching,4,0,0,2,0,0.0,0.0,0.5,0.0,1.5,4.0
post27hb,richly branching,20,2,0,10,2,0.1,0.0,0.5,0.1,1.85,7.5
post27lb,poorly branching,11,0,0,5,0,0.0,0.0,0.455,0.0,2.0,2.0
post28hb,richly branching,35,1,0,20,2,0.029,0.0,0.571,0.057,2.57,3.46
post28lb,poorly branching,3,0,0,3,0,0.0,0.0,1.0,0.0,1.0,8.67
post29hb,richly branching,104,4,8,52,3,0.038,0.077,0.5,0.029,2.78,3.56
post29lb,poorly branching,4,1,0,1,0,0.25,0.0,0.25,0.0,1.75,31.75
post2hb,richly branching,255,17,12,157,11,0.067,0.047,0.616,0.043,2.47,27.4
post2lb,poorly branching,5,0,0,2,0,0.0,0.0,0.4,0.0,2.0,1.2
post30hb,richly branching,9,0,0,6,0,0.0,0.0,0.667,0.0,2.22,1.22
post30lb,poorly branching,4,0,0,3,0,0.0,0.0,0.75,0.0,2.5,7.25
post31hb,richly branching,29,3,2,11,0,0.103,0.069,0.379,0.0,2.48,48.21
post31lb,poorly branching,9,0,0,5,0,0.0,0.0,0.556,0.0,1.89,2.44
post32hb,richly branching,22,2,0,12,0,0.091,0.0,0.545,0.0,2.45,9.5
post32lb,poorly branching,11,2,0,2,0,0.182,0.0,0.182,0.0,1.64,5.82
post33hb,richly branching,54,2,1,23,2,0.037,0.019,0.426,0.037,2.39,6.43
post33lb,poorly branching,5,0,0,2,0,0.0,0.0,0.4,0.0,2.0,1.4
post34hb,richly branching,18,2,1,5,0,0.111,0.056,0.278,0.0,2.44,3.11
post34lb,poorly branching,12,1,0,6,0,0.083,0.0,0.5,0.0,2.42,0.75
post35hb,richly branching,24,2,1,9,0,0.083,0.042,0.375,0.0,2.17,7.79
post35lb,poorly branching,5,0,1,3,0,0.0,0.2,0.6,0.0,2.0,1.4
post36hb,richly branching,22,1,3,15,1,0.045,0.136,0.682,0.045,2.5,5.23
post36lb,poorly branching,5,3,0,4,0,0.6,0.0,0.8,0.0,2.0,3.4
post37hb,richly branching,26,3,0,14,0,0.115,0.0,0.538,0.0,1.73,8.04
post37lb,poorly branching,30,1,2,17,0,0.033,0.067,0.567,0.0,2.43,7.57
post38lb,poorly branching,4,1,0,3,0,0.25,0.0,0.75,0.0,1.75,13.0
post39hb,richly branching,5,0,0,2,0,0.0,0.0,0.4,0.0,2.0,1.0
post39lb,poorly branching,5,0,0,4,0,0.0,0.0,0.8,0.0,2.0,0.6
post3hb,richly branching,76,7,3,37,2,0.092,0.039,0.487,0.026,2.7,14.83
post40hb,richly branching,16,1,2,9,0,0.062,0.125,0.562,0.0,2.12,6.69
post41hb,richly branching,10,0,0,9,0,0.0,0.0,0.9,0.0,2.2,2.2
post42hb,richly branching,5,1,0,4,0,0.2,0.0,0.8,0.0,2.0,1.6
post44hb,richly branching,9,0,0,7,0,0.0,0.0,0.778,0.0,2.56,2.89
post45hb,richly branching,30,0,1,21,2,0.0,0.033,0.7,0.067,2.03,3.03
post45lb,poorly branching,7,0,0,3,0,0.0,0.0,0.429,0.0,1.86,4.71
post46hb,richly branching,12,2,0,5,1,0.167,0.0,0.417,0.083,2.25,5.58
post46lb,poorly branching,7,0,1,3,0,0.0,0.143,0.429,0.0,1.43,11.71
post47hb,richly branching,80,8,5,38,2,0.1,0.062,0.475,0.025,2.38,42.18
post47lb,poorly branching,7,1,0,5,0,0.143,0.0,0.714,0.0,1.71,3.86
post48hb,richly branching,34,2,3,20,2,0.059,0.088,0.588,0.059,2.29,4.74
post48lb,poorly branching,16,1,1,9,0,0.062,0.062,0.562,0.0,2.19,3.5
post49hb,richly branching,11,2,2,7,0,0.182,0.182,0.636,0.0,2.0,3.64
post49lb,poorly branching,9,1,1,3,0,0.111,0.111,0.333,0.0,2.11,6.11
post4hb,richly branching,69,7,4,47,1,0.101,0.058,0.681,0.014,2.48,10.29
post50hb,richly branching,511,28,21,275,22,0.055,0.041,0.538,0.043,2.7,32.96
post50lb,poorly branching,7,0,0,3,0,0.0,0.0,0.429,0.0,2.43,12.14
post51hb,richly branching,27,3,2,15,0,0.111,0.074,0.556,0.0,2.59,3.26
post51lb,poorly branching,5,0,0,1,0,0.0,0.0,0.2,0.0,2.0,1.2
post52hb,richly branching,35,2,0,21,1,0.057,0.0,0.6,0.029,2.26,32.4
post52lb,poorly branching,6,1,1,1,0,0.167,0.167,0.167,0.0,1.83,0.5
post53hb,richly branching,17,0,0,15,0,0.0,0.0,0.882,0.0,2.29,7.65
post53lb,poorly branching,15,4,0,10,2,0.267,0.0,0.667,0.133,2.0,2.33
post54hb,richly branching,75,4,4,45,4,0.053,0.053,0.6,0.053,2.44,35.89
post54lb,poorly branching,8,2,0,3,0,0.25,0.0,0.375,0.0,2.0,1.62
post55hb,richly branching,30,2,0,14,3,0.067,0.0,0.467,0.1,2.53,5.97
post55lb,poorly branching,7,2,0,7,0,0.286,0.0,1.0,0.0,2.43,8.86
post56hb,richly branching,34,5,1,24,0,0.147,0.029,0.706,0.0,2.59,20.88
post57hb,richly branching,36,4,1,19,2,0.111,0.028,0.528,0.056,2.58,20.81
post58hb,richly branching,6,1,0,0,0,0.167,0.0,0.0,0.0,2.0,4.17
post59hb,richly branching,39,2,0,19,3,0.051,0.0,0.487,0.077,2.49,7.36
post5hb,richly branching,138,13,5,58,4,0.094,0.036,0.42,0.029,2.99,111.2
post5lb,poorly branching,6,1,0,4,1,0.167,0.0,0.667,0.167,2.17,2.5
post6hb,richly branching,34,0,1,22,2,0.0,0.029,0.647,0.059,2.24,6.47
post6lb,poorly branching,13,2,0,7,0,0.154,0.0,0.538,0.0,2.92,12.31
post7hb,richly branching,11,0,0,8,0,0.0,0.0,0.727,0.0,2.36,15.73
post7lb,poorly branching,3,0,0,3,1,0.0,0.0,1.0,0.333,1.0,1.33
post8hb,richly branching,23,1,0,7,2,0.043,0.0,0.304,0.087,1.48,108.83
post8lb,poorly branching,10,1,0,2,0,0.1,0.0,0.2,0.0,1.9,1.6
post9hb,richly branching,24,3,3,9,0,0.125,0.125,0.375,0.0,2.17,9.88
post9lb,poorly branching,5,2,0,3,1,0.4,0.0,0.6,0.2,2.0,1.6
