post_id,conversation_type,total_comments,total_deleted,both_deleted,author_only_deleted,content_only_deleted,active_comments,deletion_percentage,max_depth,thread_title,original_count,filtered_count,removed_count,removal_percentage,original_max_depth,filtered_max_depth,content_filtering_applied,depth_cap_applied,depth_0_total,depth_0_both,depth_0_author,depth_0_content,depth_0_active,depth_1_total,depth_1_both,depth_1_author,depth_1_content,depth_1_active,depth_2_total,depth_2_both,depth_2_author,depth_2_content,depth_2_active,depth_3_total,depth_3_both,depth_3_author,depth_3_content,depth_3_active,depth_4_total,depth_4_both,depth_4_author,depth_4_content,depth_4_active,depth_5_total,depth_5_both,depth_5_author,depth_5_content,depth_5_active,depth_6_total,depth_6_both,depth_6_author,depth_6_content,depth_6_active,depth_7_total,depth_7_both,depth_7_author,depth_7_content,depth_7_active,depth_8_total,depth_8_both,depth_8_author,depth_8_content,depth_8_active,depth_9_total,depth_9_both,depth_9_author,depth_9_content,depth_9_active,depth_10_total,depth_10_both,depth_10_author,depth_10_content,depth_10_active,depth_11_total,depth_11_both,depth_11_author,depth_11_content,depth_11_active,depth_12_total,depth_12_both,depth_12_author,depth_12_content,depth_12_active,depth_13_total,depth_13_both,depth_13_author,depth_13_content,depth_13_active,depth_14_total,depth_14_both,depth_14_author,depth_14_content,depth_14_active,depth_15_total,depth_15_both,depth_15_author,depth_15_content,depth_15_active,depth_16_total,depth_16_both,depth_16_author,depth_16_content,depth_16_active,depth_17_total,depth_17_both,depth_17_author,depth_17_content,depth_17_active,depth_18_total,depth_18_both,depth_18_author,depth_18_content,depth_18_active,depth_19_total,depth_19_both,depth_19_author,depth_19_content,depth_19_active
post10con,controversial,35,6,0,6,0,29,17.14,8,Why we need more Women in AI (Content-Filtered - Full Tree),35,35,0,0.0,8,8,True,False,10,0,2,0,8,7,0,2,0,5,8,0,0,0,8,5,0,2,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post10tec,technical,31,0,0,0,0,31,0.0,6,[D] Why do LLMs like InstructGPT and LLM use RL to instead of supervised learning to learn from the user-ranked examples? (Content-Filtered - Full Tree),32,31,1,3.12,6,6,True,False,11,0,0,0,11,12,0,0,0,12,4,0,0,0,4,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post11tec,technical,8,0,0,0,0,8,0.0,1,[P] My experiments with Knowledge Distillation (Content-Filtered - Full Tree),8,8,0,0.0,1,1,True,False,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post12con,controversial,115,11,0,11,0,104,9.57,4,Why are most AI voices women's voices? (Content-Filtered - Full Tree),117,115,2,1.71,4,4,True,False,70,0,7,0,63,30,0,2,0,28,9,0,1,0,8,4,0,1,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post12tec,technical,18,0,0,0,0,18,0.0,3,[D] Finetuning ModernBERT is taking 3hrs (2 epochs) and 35gigs of vram. is it normal? (Content-Filtered - Full Tree),18,18,0,0.0,3,3,True,False,6,0,0,0,6,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post13con,controversial,266,48,0,48,0,218,18.05,23,Study: Automation drives income inequality (Content-Filtered - Full Tree),267,266,1,0.37,23,23,True,False,39,0,9,0,30,36,0,5,0,31,36,0,10,0,26,34,0,2,0,32,26,0,4,0,22,19,0,2,0,17,15,0,4,0,11,9,0,1,0,8,10,0,3,0,7,8,0,0,0,8,6,0,2,0,4,5,0,0,0,5,4,0,2,0,2,2,0,0,0,2,2,0,1,0,1,2,0,0,0,2,2,0,1,0,1,2,0,0,0,2,2,0,1,0,1,2,0,0,0,2
post13tec,technical,8,0,0,0,0,8,0.0,1,[N] FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning (Content-Filtered - Full Tree),8,8,0,0.0,1,1,True,False,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post14con,controversial,455,16,0,16,0,439,3.52,15,'Godfather of AI' explains how 'scary' AI will increase the wealth gap and 'make society worse' (Content-Filtered - Full Tree),473,455,18,3.81,15,15,True,False,108,0,10,0,98,92,0,3,0,89,91,0,0,0,91,61,0,2,0,59,44,0,1,0,43,20,0,0,0,20,11,0,0,0,11,11,0,0,0,11,5,0,0,0,5,3,0,0,0,3,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post14tec,technical,29,1,0,1,0,28,3.45,4,[D] Discussing Apple's Deployment of a 3 Billion Parameter AI Model on the iPhone 15 Pro - How Do They Do It? (Content-Filtered - Full Tree),31,29,2,6.45,4,4,True,False,14,0,1,0,13,8,0,0,0,8,5,0,0,0,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post15con,controversial,106,9,0,9,0,97,8.49,6,Will AI help or hurt Wealth Inequality over the next 10 years? (Content-Filtered - Full Tree),108,106,2,1.85,6,6,True,False,52,0,4,0,48,17,0,3,0,14,16,0,1,0,15,6,0,0,0,6,8,0,0,0,8,5,0,1,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post15tec,technical,14,0,0,0,0,14,0.0,3,[R] Sliding Window Attention Training for Efficient LLMs (Content-Filtered - Full Tree),14,14,0,0.0,3,3,True,False,6,0,0,0,6,5,0,0,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post16con,controversial,92,0,0,0,0,92,0.0,8,Will AI Displace More Jobs Than It Creates? (Content-Filtered - Full Tree),93,92,1,1.08,8,8,True,False,24,0,0,0,24,20,0,0,0,20,20,0,0,0,20,8,0,0,0,8,7,0,0,0,7,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post16tec,technical,17,0,0,0,0,17,0.0,2,Adaptive RAG: A retrieval technique to reduce LLM token cost for top-k Vector Index retrieval [R] (Content-Filtered - Full Tree),17,17,0,0.0,2,2,True,False,8,0,0,0,8,7,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post17tec,technical,14,0,0,0,0,14,0.0,4,What's your opinion on a network of experts being the correct way to go? (Content-Filtered - Full Tree),15,14,1,6.67,4,4,True,False,6,0,0,0,6,3,0,0,0,3,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post18con,controversial,549,25,0,25,0,524,4.55,15,Avoid this company: Data Annotation (Content-Filtered - Full Tree),575,549,26,4.52,16,15,True,False,101,0,5,0,96,106,0,2,0,104,101,0,2,0,99,84,0,6,0,78,66,0,2,0,64,44,0,5,0,39,26,0,2,0,24,8,0,0,0,8,3,0,1,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post18tec,technical,34,0,0,0,0,34,0.0,11,You Can't Call RAG Context - Current Context Coherence is Akin to 1-Shot - Is This a Confabulation of What Context is Meant to Be? (Content-Filtered - Full Tree),34,34,0,0.0,11,11,True,False,5,0,0,0,5,6,0,0,0,6,3,0,0,0,3,4,0,0,0,4,3,0,0,0,3,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post19con,controversial,51,0,0,0,0,51,0.0,12,"CMV: OpenAIâ€™s ""ethical AI"" is a myth . Their model is racist, classist, and exploitative (Content-Filtered - Full Tree)",53,51,2,3.77,12,12,True,False,13,0,0,0,13,6,0,0,0,6,8,0,0,0,8,6,0,0,0,6,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post19tec,technical,9,0,0,0,0,9,0.0,3,[R] What is Flash Attention? Explained  (Content-Filtered - Full Tree),9,9,0,0.0,3,3,True,False,4,0,0,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post1con,controversial,400,13,0,13,0,387,3.25,21,AI generates covertly racist decisions about people based on their dialect (Content-Filtered - Full Tree),414,400,14,3.38,21,21,True,False,46,0,5,0,41,65,0,1,0,64,57,0,3,0,54,44,0,0,0,44,40,0,2,0,38,33,0,1,0,32,23,0,1,0,22,16,0,0,0,16,14,0,0,0,14,13,0,0,0,13,8,0,0,0,8,7,0,0,0,7,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,2,0,0,0,2
post1tec,technical,15,1,0,1,0,14,6.67,4,[D] How does 'self-attention' work in transformer models? (Content-Filtered - Full Tree),15,15,0,0.0,4,4,True,False,6,0,0,0,6,4,0,1,0,3,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post20con,controversial,646,20,0,20,0,626,3.1,8,AI is ruinning our industry (Content-Filtered - Full Tree),657,646,11,1.67,12,8,True,False,311,0,10,0,301,108,0,4,0,104,81,0,2,0,79,67,0,2,0,65,33,0,0,0,33,22,0,1,0,21,14,0,0,0,14,7,0,1,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post20tec,technical,16,0,0,0,0,16,0.0,3,Why people use RoPE instead of Alibi when buliding their models? (Content-Filtered - Full Tree),16,16,0,0.0,3,3,True,False,5,0,0,0,5,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post21con,controversial,373,25,0,25,0,348,6.7,13,OpenAI has removed the diversity commitment web page from its site (Content-Filtered - Full Tree),388,373,15,3.87,13,13,True,False,77,0,4,0,73,78,0,5,0,73,64,0,3,0,61,60,0,5,0,55,32,0,3,0,29,21,0,1,0,20,13,0,2,0,11,7,0,0,0,7,8,0,1,0,7,4,0,0,0,4,4,0,1,0,3,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post21tec,technical,13,0,0,0,0,13,0.0,5,"[R] Train Short, Test Long: Attention with Linear Biases Enables Input Length Extrapolation (Content-Filtered - Full Tree)",13,13,0,0.0,5,5,True,False,4,0,0,0,4,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post22con,controversial,50,0,0,0,0,50,0.0,14,Why the Importance of Diversity in Tech Canâ€™t Be Ignored (Content-Filtered - Full Tree),50,50,0,0.0,14,14,True,False,7,0,0,0,7,8,0,0,0,8,10,0,0,0,10,5,0,0,0,5,6,0,0,0,6,4,0,0,0,4,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post22tec,technical,32,0,0,0,0,32,0.0,5,Compared performance of vLLM vs SGLang on 2 Nvidia GPUs - SGLang crushes it with Data Parallelism (Content-Filtered - Full Tree),32,32,0,0.0,5,5,True,False,14,0,0,0,14,8,0,0,0,8,4,0,0,0,4,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post23con,controversial,87,6,0,6,0,81,6.9,5,Will AI solve poverty like issues or just increase inequalities again? (Content-Filtered - Full Tree),89,87,2,2.25,5,5,True,False,42,0,3,0,39,17,0,1,0,16,15,0,1,0,14,5,0,0,0,5,6,0,1,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post23tec,technical,81,1,0,1,0,80,1.23,9,"Sliding Window Attention support merged into llama.cpp, dramatically reducing the memory requirements for running Gemma 3 (Content-Filtered - Full Tree)",83,81,2,2.41,9,9,True,False,21,0,0,0,21,12,0,0,0,12,13,0,1,0,12,9,0,0,0,9,9,0,0,0,9,8,0,0,0,8,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post24con,controversial,91,14,0,14,0,77,15.38,11,"Federal study confirms racial bias of many facial-recognition systems, casts doubt on their expanding use (Content-Filtered - Full Tree)",93,91,2,2.15,11,11,True,False,16,0,5,0,11,13,0,2,0,11,14,0,0,0,14,9,0,3,0,6,11,0,0,0,11,6,0,3,0,3,5,0,0,0,5,4,0,1,0,3,5,0,0,0,5,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post24tec,technical,45,1,0,1,0,44,2.22,5,Beginner's guide to finetuning Llama 2 and Mistral using QLoRA (Content-Filtered - Full Tree),46,45,1,2.17,5,5,True,False,15,0,1,0,14,13,0,0,0,13,8,0,0,0,8,5,0,0,0,5,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post25con,controversial,84,0,0,0,0,84,0.0,9,Your thoughts on AI bias (Content-Filtered - Full Tree),85,84,1,1.18,10,9,True,False,12,0,0,0,12,14,0,0,0,14,14,0,0,0,14,10,0,0,0,10,11,0,0,0,11,8,0,0,0,8,6,0,0,0,6,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post25tec,technical,33,0,0,0,0,33,0.0,7,Why isnâ€™t QLoRA being used more widely for fine tuning models? (Content-Filtered - Full Tree),33,33,0,0.0,7,7,True,False,7,0,0,0,7,8,0,0,0,8,6,0,0,0,6,5,0,0,0,5,3,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post26con,controversial,208,4,0,4,0,204,1.92,27,Do you think AI is more likely to worsen or reduce wealth inequality globally? (Content-Filtered - Full Tree),209,208,1,0.48,27,27,True,False,72,0,3,0,69,29,0,1,0,28,36,0,0,0,36,21,0,0,0,21,12,0,0,0,12,9,0,0,0,9,6,0,0,0,6,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
